소재지전화,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,좌표정보(x),좌표정보(y)
032-724-9898,경기도 부천시 중동 1300 센트럴파크 푸르지오,"경기도 부천시 소향로 181, 상가동 1층 125호 (중동, 센트럴파크 푸르지오)",14547,중동우리아이동물병원,179405.695792369,444449.660787061
,강원특별자치도 홍천군 홍천읍 연봉리 39,"강원특별자치도 홍천군 홍천읍 연봉중앙로 69, 105호 1동 1층 105호",25145,건국동물병원,277551.368581496,464903.530529045
033-256-3319,강원특별자치도 춘천시 신동면 정족리 377-1,강원특별자치도 춘천시 신동면 정족1길 6,24412,강동동물병원,264513.895761355,481251.378917888
,광주광역시 서구 풍암동 423-2 롯데마트 3층,"광주광역시 서구 금화로 240, 3층 (풍암동, 롯데마트)",62048,펫프렌즈동물병원,188791.275961965,181590.099672513
236-0575,광주광역시 서구 화정동 825-10,"광주광역시 서구 염화로 97, 1층 (화정동)",62037,Dr.남동물병원,188556.07018578,182641.976788227
372-7975,광주광역시 서구 화정동 808-13번지,광주광역시 서구 월드컵4강로 88 (화정동),62037,가로수동물병원,188424.678901788,182840.601870176
,광주광역시 서구 치평동 1239번지 롯데마트 4층,"광주광역시 서구 시청로 40, 4층 (치평동, 롯데마트)",61948,쿨펫동물병원,186476.010874769,183702.292924632
368-8288,광주광역시 서구 광천동 625-3번지,광주광역시 서구 죽봉대로 135 (광천동),61914,백제동물병원,189326.01339469,185150.126884021
062-527-7588,광주광역시 서구 동천동 595 8통6반,광주광역시 서구 하남대로 672 (동천동),61903,유림동물병원,187714.452369626,185832.703689122
383-7595,광주광역시 서구 쌍촌동 1248-18,광주광역시 서구 운천로 110-1 (쌍촌동),62023,윌 동물외상센터,187013.059221457,182613.557035944
655-7975,광주광역시 서구 풍암동 987-1,광주광역시 서구 풍금로38번길 59 (풍암동),62049,사랑가득 동물병원,187935.909750598,180676.615077371
375-5110,광주광역시 서구 화정동 755-19,"광주광역시 서구 화운로 111, 1층 (화정동)",61987,베스트동물병원,188891.337646305,183353.270457515
062-671-7007,광주광역시 남구 구동 37-23,광주광역시 남구 천변좌로 370 (구동),,서현동물병원,191921.419488128,182952.909919247
653-1175,광주광역시 남구 주월동 387-2번지,광주광역시 남구 서문대로 791-1 (주월동),61721,수동물병원,190641.929420202,181211.945299389
,광주광역시 남구 방림동 57-25번지,광주광역시 남구 용대로 154-2 (방림동),61676,고려동물병원,192484.785516649,181196.846459968
,광주광역시 남구 진월동 249 대주아파트,"광주광역시 남구 서문대로678번길 7, 202호 (진월동, 대주아파트)",61709,진월24동물병원,190833.810531227,180136.560840162
062-674-1232,광주광역시 남구 송하동 262-1,광주광역시 남구 송암로24번길 52 (송하동),61740,광주축산농협동물병원,189412.47534577,178998.394557622
062-682-7553,광주광역시 남구 봉선동 1064,"광주광역시 남구 봉선로 198 (봉선동, 이마트)",61705,센트럴,192271.788165678,180371.789080786
062-352-0101,광주광역시 남구 월산동 1035-18번지,광주광역시 남구 대남대로 309-1 (월산동),61614,그린동물병원,190325.982105105,182279.009055335
,광주광역시 남구 백운동 348-1번지,"광주광역시 남구 독립로 82, 1층 (백운동)",61645,다솜동물병원,191046.194686294,182418.678815433
062-671-8288,광주광역시 남구 사동 79번지,광주광역시 남구 천변좌로 394 (사동),,희망동물병원,192084.977945913,182764.436592362
,광주광역시 남구 봉선동 1080번지 남양휴튼 B동 103호,"광주광역시 남구 봉선로 115, B동 103호 (봉선동,남양휴튼)",,늘푸른 동물병원,191587.752262708,180637.646190166
382-7588,광주광역시 서구 금호동 753-2,광주광역시 서구 운천로 29 (금호동),62006,좋은동물병원,187064.130011569,181802.594998289
652-8788,광주광역시 남구 주월동 404-15,"광주광역시 남구 서문대로 763 (주월동, 길동물병원)",61722,길동물병원,190564.168589046,180932.714817726
062-714-1755,광주광역시 남구 주월동 621-1,광주광역시 남구 금화로 376 (주월동),61602,이룸외과동물병원,189619.301581809,182462.455929236
652-8275,광주광역시 서구 풍암동 1137,광주광역시 서구 풍암순환로188번길 15 (풍암동),62060,한결동물의료센터,189281.908948695,180985.791354867
365-1491,광주광역시 서구 화정동 94-10,광주광역시 서구 내방로 326(화정동),61972,다나동물병원,188657.987885525,184248.922644444
375-1613,광주광역시 서구 쌍촌동 1348-6,광주광역시 서구 상일로 44 (쌍촌동),61942,푸른동물병원,187478.659180089,184483.087261831
062-374-0128,광주광역시 서구 쌍촌동 1271-1 2층,"광주광역시 서구 상무민주로 90, 2층 (쌍촌동)",61966,프렌즈동물병원,187135.331922263,184387.880413798
062-412-7500,광주광역시 남구 봉선동 1156-9,광주광역시 남구 봉선로 77(봉선동),61695,봉선아이동물메디컬센터,191342.179225703,180848.532080648
,광주광역시 남구 구동 37-4번지,광주광역시 남구 천변좌로 358 (구동),61639,중앙동물병원,191854.061544296,183036.524458506
,광주광역시 남구 봉선동 1027-6번지,광주광역시 남구 봉선중앙로 94 (봉선동),61671,봉선동물병원,191827.454193137,181137.866649241
062-681-5720,광주광역시 남구 송하동 492-27번지 동물병원,"광주광역시 남구 서문대로 403-1, 동물병원 (송하동)",61755,광주동물병원,188884.953387013,178367.802390127
527-8275,광주광역시 동구 산수동 542-62번지 9통2반,광주광역시 동구 필문대로 130-1 (산수동),61406,영재애견종합병원,193612.990432861,184439.476506033
226-7585,광주광역시 동구 호남동 43-1번지,광주광역시 동구 중앙로 150 (호남동),,신세계 동물병원,191961.232555703,183157.789525369
227-1023,광주광역시 동구 학동 676-12번지,광주광역시 동구 의재로 27 (학동),,황제 동물병원,193634.983021208,181532.295755772
062-223-0075,광주광역시 동구 학동 859-7번지,광주광역시 동구 남문로 675 (학동),61464,광주 한사랑동물병원,193454.241217464,181309.281723839
062-511-7582,광주광역시 동구 계림동 100-11번지 금호계림주상복합 상가동 149호,"광주광역시 동구 중앙로 358, 상가동 149호 (계림동, 금호계림주상복합)",61402,튼튼동물병원,192659.77458798,184961.882216707
473-2255,대구광역시 남구 봉덕동 554-2,대구광역시 남구 봉덕로 89 (봉덕동),42438,현대동물병원,344513.367629677,261713.514078146
474-2266,대구광역시 남구 봉덕동 554-10,대구광역시 남구 봉덕로 83 (봉덕동),42438,이천종합동물병원,344456.67863772,261718.154303672
629-8111,대구광역시 남구 대명동 332-16 17통2반,대구광역시 남구 대명로 230 (대명동),42450,대흥동물병원,342865.665969458,261244.956926801
627-1470,대구광역시 남구 봉덕동 1298-3,"대구광역시 남구 중앙대로 150, 1층 (봉덕동)",42430,독사랑동물병원,343648.850895772,261885.907477242
629-0075,대구광역시 남구 대명동 1636-19번지,대구광역시 남구 대명로 121 (대명동),42481,리더스동물병원,341853.639550008,261090.927641155
741-7573,대구광역시 남구 봉덕동 555-9번지,대구광역시 남구 봉덕로 84 (봉덕동),42441,우리동물병원,344449.091037572,261668.747806941
473-0815,대구광역시 남구 봉덕동 562-15번지,대구광역시 남구 대덕로 149 (봉덕동),42444,알프스동물병원,344428.388043736,261288.6225555
053-765-7877,대구광역시 수성구 지산동 1051,대구광역시 수성구 동대구로 36 (지산동),,대구동물메디컬센터,346694.940508776,260487.502072888
053-784-9971,대구광역시 수성구 범물동 1275-4번지,대구광역시 수성구 지범로39길 11 (범물동),42198,베트문동물병원,348328.995524852,259066.019359284
053-742-0075,대구광역시 수성구 만촌동 854-1,대구광역시 수성구 달구벌대로 2644 (만촌동),42068,조은동물의료원,349046.702079971,263042.071601978
,대구광역시 수성구 노변동 4-2번지,대구광역시 수성구 달구벌대로 3144 (노변동),42256,펫 동물병원,353598.690615569,261522.944853529
053-291-7579,대구광역시 수성구 범물동 1271-2번지 덕암빌딩 2층,"대구광역시 수성구 용학로 294 (범물동, 덕암빌딩 2층)",42198,멘토동물병원,348206.215289193,259197.424207022
053-782-7580,대구광역시 수성구 상동 413-11 1층,"대구광역시 수성구 무학로 41, 1층 (상동)",42168,스위스동물병원,345702.583302327,260061.669935183
053-744-8285,대구광역시 수성구 만촌동 1025-35번지,대구광역시 수성구 청호로 484 (만촌동),42080,세인트동물병원,348524.125521591,263228.884143563
053-794-7975,대구광역시 수성구 신매동 261-16번지,대구광역시 수성구 달구벌대로 3249 (신매동),42271,그랜드벳동물병원,354588.396569993,261224.47215638
053-791-7532,대구광역시 수성구 시지동 258-13번지 1층,"대구광역시 수성구 달구벌대로 3116-1, 1층 (시지동)",42255,y동물병원,353328.042042815,261608.399840165
742-7275,대구광역시 수성구 범어동 1161번지,대구광역시 수성구 들안로 412 (범어동),42009,로얄동물병원,346103.039680356,264174.124069326
746-5575,대구광역시 수성구 수성동4가 1017-32번지,대구광역시 수성구 들안로 354 (수성동4가),42016,곰아저씨 동물병원,346076.35679019,263592.41334255
,대구광역시 수성구 황금동 676-4번지,대구광역시 수성구 동대구로 207 (황금동),42140,예스동물병원,346679.823409933,262201.871268429
,대구광역시 수성구 만촌동 859-2,대구광역시 수성구 달구벌대로 2660(만촌동),42069,에피소드 동물병원,349188.139437896,262963.17570826
,,대구광역시 수성구 달구벌대로 2367 (수성동4가),42017,따뜻한 on동물병원,346406.434046357,263413.645594642
762-7942,,대구광역시 수성구 동대구로 247 (범어동),42140,스마트동물병원,346709.896770097,262602.788235166
0537681002,대구광역시 수성구 황금동 889-6번지,대구광역시 수성구 청수로 101 (황금동),42149,마루동물병원,346234.386791829,261277.965993762
7167585,대구광역시 수성구 수성동3가 10,대구광역시 수성구 달구벌대로 2354 (수성동3가),42115,범어동물의료센터,346250.446109858,263337.04915359
424-4258,대구광역시 중구 동인동4가 332,대구광역시 중구 국채보상로 724 (동인동4가),41946,동인동물병원,345305.717665797,264336.799702626
803-7370,대구광역시 중구 달성동 294-1 달성공원,"대구광역시 중구 달성공원로 35, 달성공원 (달성동)",41924,달성공원 동물병원,342409.266570945,264889.665442922
654-1444,대구광역시 남구 대명동 807-13번지 45통1반,대구광역시 남구 두류공원로 18-2 (대명동),42470,남부동물병원,342247.013870021,261164.644947937
256-6100,대구광역시 중구 남산동 661-1번지,대구광역시 중구 중앙대로 333 (남산동),41967,고려애견종합병원,343798.804367246,263691.65568981
253-8278,대구광역시 중구 봉산동 53-2번지,대구광역시 중구 달구벌대로 2114 (봉산동),41958,중부동물병원,343967.748782351,263925.43618933
426-1731,대구광역시 중구 삼덕동1가 41-14,대구광역시 중구 달구벌대로 2145-1(삼덕동1가),41942,삼덕종합동물병원,344301.578773298,263914.447358937
254-3366,대구광역시 중구 남성로 1번지 15통5반 205호,대구광역시 중구 서성로 34 (남성로),41934,동산동물병원,343299.942449842,264434.457160927
767-1177,대구광역시 중구 대봉동 48-13,대구광역시 중구 동덕로 56-3 (대봉동),41952,오원석 황금동물병원,344869.554111839,263390.475894641
053-424-9944,대구광역시 중구 대봉동 715-15,대구광역시 중구 대봉로 278 (대봉동),41950,대구축산 동물병원,344432.563323862,263763.687866673
426-7588,"대구광역시 중구 대신동 305-1 4통4반 태왕아너스스카이 상가 101호, 102호, 103호","대구광역시 중구 달구벌대로 1975 (대신동, 태왕아너스스카이 상가 101호, 102호, 103호)",41927,대구S동물병원,342612.16410652,263922.51723918
255-8275,대구광역시 중구 대봉동 40-135번지,대구광역시 중구 동덕로8길 2 (대봉동),41952,원동물병원,344945.384808178,263227.936358295
751-9323,대구광역시 수성구 범어동 225-17번지,대구광역시 수성구 범어로 118 (범어동),42030,범어동물병원,347695.464482889,263444.82676638
781-6566,대구광역시 수성구 지산동 1258-11,대구광역시 수성구 지산로 41 (지산동),42189,정동물병원,347406.135158156,259633.912079243
742-4810,대구광역시 수성구 수성동4가 1236-44번지,대구광역시 수성구 달구벌대로 2259 (수성동4가),,사랑동물병원,345357.835403098,263522.111983461
746-0031,대구광역시 수성구 만촌동 1328-13번지,대구광역시 수성구 화랑로 102 (만촌동),,선동물병원,347849.494713636,264849.266321435
766-9350,대구광역시 수성구 중동 356-7 수성 골드클래스 더 센텀 상가201동 116호,"대구광역시 수성구 수성로 185, 상가201동 116호 (중동, 수성 골드클래스 더 센텀)",42154,나라동물병원,345513.841619671,261458.148130329
761-8875,대구광역시 수성구 지산동 1054-1번지,대구광역시 수성구 동대구로 24 (지산동),,두산메디펫동물병원,346674.126280118,260342.804206552
784-2483,대구광역시 수성구 지산동 1258-13번지,대구광역시 수성구 지범로 89 (지산동),,지산동물병원,347386.147824384,259644.133591432
746-7111,대구광역시 수성구 만촌동 1326-14 지하1층,"대구광역시 수성구 동원로 152, 지하1층 (만촌동)",42037,금강동물병원,347662.451959747,264758.469397014
053-756-8290,대구광역시 수성구 범어동 167-18,대구광역시 수성구 달구벌대로 2475 (범어동),,제니스동물병원,347472.020791066,263351.12276167
474-1119,대구광역시 남구 봉덕동 1045-20,대구광역시 남구 신촌길 101 (봉덕동),42511,효성동물병원,344867.400288413,261035.475785965
053-764-8275,대구광역시 수성구 두산동,대구광역시 수성구 들안로 50 (두산동),42173,리즈 동물병원,346052.975160552,260558.823557398
,대구광역시 달성군 구지면 창리 429-9 1통1반,대구광역시 달성군 구지면 창리로11길 34,43010,구지동물병원,327723.743609075,240813.150041343
,대구광역시 달성군 다사읍 죽곡리 23-6,대구광역시 달성군 다사읍 달구벌대로 836,42915,다사종합동물병원,331988.286409063,263282.361263372
,대구광역시 달성군 현풍읍 원교리 60,대구광역시 달성군 현풍읍 비슬로 614-1,43003,포산동물병원,330313.95471424,244606.28981761
,대구광역시 달성군 현풍읍 원교리 588,대구광역시 달성군 현풍읍 원교길 6,43022,달성축산동물병원,330820.953107375,242590.497739479
053-616-2480,대구광역시 달성군 유가읍 봉리 619 테크노폴리스 M스퀘어+,"대구광역시 달성군 유가읍 테크노상업로 120, 테크노폴리스 M스퀘어+",43018,비슬동물병원,332209.678232161,244660.404545869
053-614-3570,대구광역시 달성군 유가읍 봉리 613,대구광역시 달성군 유가읍 테크노공원로 51,43018,현풍동물병원,331838.761722146,244537.750024761
,대구광역시 달성군 다사읍 죽곡리 813 204호,"대구광역시 달성군 다사읍 대실역남로 34, 204호",42918,25시 죽곡동물병원,332203.336845383,262651.324928403
,대구광역시 달성군 현풍읍 중리 491-2 타임스퀘어,"대구광역시 달성군 현풍읍 테크노중앙대로 243, 타임스퀘어 105, 106호",43017,도담동물병원,331712.474116767,244553.515554328
611-6203,대구광역시 달성군 현풍읍 대리 186,대구광역시 달성군 현풍읍 국가산단북로 482-22,43008,달성축협동물병원,330276.830336483,241789.110122663
053-586-5575,대구광역시 달성군 다사읍 죽곡리 산 61-2번지,대구광역시 달성군 다사읍 달구벌대로 844,42915,힐링동물병원,332048.560236115,263214.522143886
053-635-5800,대구광역시 달성군 화원읍 천내리 156-1,대구광역시 달성군 화원읍 사문진로 447,42955,화원연합동물병원,335275.679142187,257003.130350382
053-617-8875,대구광역시 달성군 유가읍 봉리 583-2,대구광역시 달성군 유가읍 테크노중앙대로6길 2-4,43014,테크노연합 동물병원,331780.126042364,245127.487097293
,대구광역시 달성군 다사읍 매곡리 1551-1 102호,"대구광역시 달성군 다사읍 달구벌대로 893, 102호",42913,119동물병원,332431.324531703,262897.940039609
,대구광역시 달성군 다사읍 서재리 134-1,대구광역시 달성군 다사읍 서재로 140,42925,서재동물병원,335187.054817072,265018.176179205
573-1175,대구광역시 서구 평리동 1360번지,대구광역시 서구 서대구로 64 (평리동),,아이펫동물병원,340516.911587596,263743.990400937
053-552-0075,대구광역시 서구 평리동 1492-30,"대구광역시 서구 서대구로 189, 2층 (평리동)",41765,평리동물병원,340323.600098224,264975.510365076
554-3575,대구광역시 서구 비산동 400-16번지,대구광역시 서구 국채보상로 407 (비산동),41801,진동물병원,342223.187492841,264701.450132016
555-0051,대구광역시 서구 평리동 1371-3번지,대구광역시 서구 서대구로 136 (평리동),,페츠업 동물병원,340399.559134917,264436.412999101
559-9020,대구광역시 서구 비산동 511-48번지,대구광역시 서구 달서로 165 (비산동),,보경동물병원,341799.124012372,265236.052683606
070-4293-0622,대구광역시 서구 비산동 1302-9번지,"대구광역시 서구 서대구로 361, 2층 (비산동)",41710,더펫동물병원,340841.644657242,266555.91361217
,경상북도 구미시 인의동 840-1번지,경상북도 구미시 인동5길 6 (인의동),39433,사랑동물병원,327990.368758437,290193.224185343
054-452-9393,경상북도 구미시 형곡동 857번지,경상북도 구미시 신시로 60 (형곡동),39295,형곡동물병원,320547.375392065,291121.405027111
054-482-1377,경상북도 구미시 선산읍 교리 422-14,"경상북도 구미시 선산읍 선산대로 1560-5, 1층",39116,구미칠곡축산농협동물병원,317475.159916351,306647.759391781
054-461-7582,경상북도 구미시 신평동 465번지 롯데마트구미점,"경상북도 구미시 구미대로22길 11, 롯데마트구미점 (신평동)",39255,쿨펫동물병원 구미점,322854.380277954,291225.602303128
441-1183,경상북도 구미시 원평동 1060-14번지,경상북도 구미시 송원서로2길 29 (원평동),39232,강남동물병원,321130.336336205,292233.800636349
054-476-8274,경상북도 구미시 진평동 5-3번지,경상북도 구미시 인동남길 66 (진평동),39398,베스트동물병원,328184.392822436,289788.74620631
054-476-7579,경상북도 구미시 옥계동 739-1,경상북도 구미시 산호대로31길 10 (옥계동),39184,구미옥계동물병원,327960.076590485,293885.513818949
,경상북도 경산시 중방동 849-6번지,경상북도 경산시 중앙로19길 26 (중방동),38622,초원동물병원,356810.320255021,259814.644104282
,경상북도 경산시 자인면 서부리 256-5 5통,경상북도 경산시 자인면 자인로 193-1,38560,자인동물병원,364717.789458343,258855.388296172
,경상북도 경산시 중방동 846-6번지,경상북도 경산시 경안로42길 7 (중방동),38619,경산동물병원,356962.235917596,259834.776261806
,경상북도 경산시 중방동 245-2번지,경상북도 경산시 경안로 263 (중방동),38611,영대동물병원,356718.842631753,260364.20009028
,경상북도 경산시 중방동 864-11번지,경상북도 경산시 경안로38길 14 (중방동),38618,김영복수의과병원,356989.793694289,259771.098614235
,경상북도 경산시 정평동 246-48번지,경상북도 경산시 강변서로51길 6 (정평동),38655,정평동물병원,356352.84976197,260280.096478012
814-8005,"경상북도 경산시 중방동 841-5 한국농어촌공사 경산,청도지사",경상북도 경산시 경안로 226 (중방동),38620,고은동물병원,356864.208357303,260011.433878768
,경상북도 경산시 하양읍 동서리 592-1번지,경상북도 경산시 하양읍 조산천동길 48,38417,강북동물병원,364297.923897847,270032.676705901
,경상북도 의성군 안계면 용기리 839-2번지 1통,경상북도 의성군 안계면 안계길 127-1,37313,협동,328974.870115704,321267.021454762
,경상북도 의성군 의성읍 후죽리 474-5번지 2통,경상북도 의성군 의성읍 문소3길 95-2,37335,경의,351999.441342599,318406.227068358
054-832-0342,경상북도 의성군 의성읍 도동리 908-17번지,경상북도 의성군 의성읍 중앙길 44-1,37342,의성동물병원,352302.843522948,317720.603371596
,경상북도 의성군 다인면 서릉리 158-9번지,경상북도 의성군 다인면 다인장길 17-1,37303,중앙,321459.895797105,328516.478494622
,경상북도 경산시 조영동 283-1번지,경상북도 경산시 대학로 315 (조영동),38528,영대연합동물병원,358549.709125735,261246.968557423
,경상북도 경산시 옥산동 758-7번지,"경상북도 경산시 성암로21길 3-7 (옥산동, 동현빌)",38676,가나종합동물병원,356058.468045155,259662.026467258
,경상북도 경산시 중방동 829-8번지,경상북도 경산시 경안로 249 (중방동),38621,우리집동물병원,356738.647141187,260221.010488924
,경상북도 경산시 와촌면 동강리 140번지,경상북도 경산시 와촌면 동강길 26,38412,다원동물병원,365193.883856717,274264.027935716
,경상북도 경산시 압량면 신대리 465번지,경상북도 경산시 압량면 화랑로 290,38536,함께하는 동물병원,359232.158152348,261452.000159322
,경상북도 경산시 옥산동 849-1,경상북도 경산시 성암로9길 7 (옥산동),38671,진량동물병원,355499.684205139,259511.268234908
,경상북도 경산시 와촌면 박사리 산 21-1번지,경상북도 경산시 와촌면 삽살개공원길 37,38412,경산의 삽살개육종연구소,362552.15415453,273946.937481534
,경상북도 경산시 하양읍 금락리 654번지,경상북도 경산시 하양읍 대경로 764,38435,최우식 동물병원,364525.706641977,269602.686413345
053-813-7580,경상북도 경산시 중산동 632,"경상북도 경산시 펜타힐즈로 74, 힐즈스퀘어 201호 (중산동)",38662,중산 메디컬 동물병원,355338.379611459,260250.543290323
,경상북도 경산시 하양읍 동서리 900-3번지,경상북도 경산시 하양읍 하양로 223,38418,한결같은 동물병원,365089.130554833,270233.725781765
,경상북도 경산시 용성면 용전리 435번지,경상북도 경산시 용성면 육동로 732,38568,더그린 컨설팅&크리닉,373505.193057581,253981.055572271
,경상북도 경산시 옥산동 758-4번지,경상북도 경산시 성암로21길 3-11 (옥산동),38676,행복한 동물병원,356027.367643117,259648.682989381
,경상북도 경산시 중방동 849-21번지,경상북도 경산시 경안로 211 (중방동),38622,제일동물병원,356837.433675186,259857.992570988
,경상북도 경산시 중방동 828-24번지,경상북도 경산시 중방로 9 (중방동),38611,유한동물병원,356721.001111577,260297.048877766
856-7585,경상북도 경산시 자인면 서부리 662-9번지,경상북도 경산시 자인면 계정길 67,38549,경산축산농협 동물병원,364233.423622353,259120.918611233
,경상북도 경산시 사동 28번지,경상북도 경산시 백자로 71 (사동),38600,기운찬 동물병원,358537.231945985,258338.680900701
,경상북도 경산시 대정동 693번지,경상북도 경산시 대정길 37-1 (대정동),38501,우리동물병원,356682.737388739,261929.405647469
,경상북도 경산시 하양읍 금락리 116-157번지,경상북도 경산시 하양읍 대학로305길 51-13,38436,늘봄동물병원,364013.348081335,269323.640967486
,경상북도 경산시 사동 637-3,경상북도 경산시 박물관로 17(사동),38583,동부동물병원,359073.037390696,258773.356262942
,경상북도 경산시 중산동 591번지,경상북도 경산시 경산로 227 (중산동),38661,더샵 동물병원,355714.328223882,260059.104154592
054-335-6708,경상북도 영천시 금호읍 교대리,경상북도 영천시 금호읍 금호로 118,38877,미래연합동물병원,369110.089808715,271761.390501321
054-333-8275,경상북도 영천시 야사동 179-6,경상북도 영천시 호국로 65 (야사동),38859,영천동물병원,375353.395958618,276593.435725814
054-333-0275,,경상북도 영천시 호국로 15 (문외동),38855,누리동물병원,374916.475162098,276341.476932246
,경상북도 영천시 금호읍 교대리 38-3,"경상북도 영천시 금호읍 교대5길 35, 1층",38877,알프스동물병원,369256.506296595,271996.348509378
054-331-3375,경상북도 영천시 화룡동 282-4번지,경상북도 영천시 장수로 58 (화룡동),38839,대운 동물병원,372972.388171432,275662.300009407
054-336-6179,경상북도 영천시 도림동 709-1 외 1필지(709),"경상북도 영천시 선창길 11, 1층 (도림동)",38823,아진동물병원,373910.162983817,281504.889305203
,경상북도 영천시 성내동,경상북도 영천시 서문길 25 (성내동),38843,성 수의과병원,373582.376692749,275485.730993502
054-331-0137,경상북도 영천시 문외동 258-2번지,경상북도 영천시 충효로 56-1 (문외동),38852,한솔동물병원,374538.732301432,276384.124670813
,경상북도 영천시 완산동 891번지,경상북도 영천시 완산로 4-25 (완산동),38893,대관령가축병원,374989.879344952,274949.551097451
054-336-7772,경상북도 영천시 완산동 994-62번지,경상북도 영천시 시장4길 41-1 (완산동),38889,우리동물병원,374774.901691443,275557.4566309
,경상북도 영천시 완산동 982-8,경상북도 영천시 완산로 40(완산동),38894,제일가축병원,374880.691598742,275452.269598948
,경상북도 영천시 문외동 40-29,경상북도 영천시 호국로 17 (문외동),,영천축협동물병원,374934.051295412,276377.776489184
,경상북도 영천시 야사동 293-8번지,경상북도 영천시 호국로 28 (야사동),38854,양수의과병원,375035.608023977,276373.853345341
,경상북도 영천시 성내동 146-1번지,경상북도 영천시 최무선로 233 (성내동),38843,우진동물병원(출장진료전문병원),373694.061972668,275505.41919579
,경상북도 영천시 금호읍 교대리 104-2번지,"경상북도 영천시 금호읍 교대용대길 6, 1층",38878,팔공동물병원(출장진료전문),368811.56265204,271985.380858936
054-911-8275,경상북도 김천시 황금동 167-30번지,경상북도 김천시 양금로 195 (황금동),,백두동물병원,301004.479505992,290719.558205476
433-0075,인천광역시 남동구 간석동 210-2,인천광역시 남동구 남동대로 912 (간석동),21545,주식회사 이십사시 독스동물병원,174139.774518789,440218.672076386
437-8275,인천광역시 남동구 논현동 746-6 가산타워 104호,"인천광역시 남동구 논고개로 71 (논현동, 가산타워 104호)",21679,우리집동물병원,175741.564805155,432916.160822863
431-7975,인천광역시 남동구 간석동 292-4,인천광역시 남동구 구월로 159 (간석동),21551,파스텔LC동물병원,174120.468765678,439478.802287054
715-7959,인천광역시 남동구 구월동 1608 신영구월지웰시티푸르지오,"인천광역시 남동구 남동대로799번길 34, 판매시설동 3층 C307~315호 (구월동, 신영구월지웰시티푸르지오)",21555,인천 24시 스카이동물메디컬센터,174014.837508448,439163.467530452
429-1673,인천광역시 남동구 구월동 1394-9번지,인천광역시 남동구 문화서로3번길 7 (구월동),21567,보람동물병원,172927.600010434,438246.294512457
438-3227,인천광역시 남동구 논현동 751-1,인천광역시 남동구 소래역남로16번길 75 (논현동),21674,소래동물병원,176289.301104774,433115.954737015
467-0275,인천광역시 남동구 서창동 663-1번지,"인천광역시 남동구 서창남순환로 2, 2층 (서창동)",21610,보듬동물병원,177832.438577513,435843.108351297
,인천광역시 남동구 논현동 671-1번지 109호,"인천광역시 남동구 앵고개로 928, 109호 (논현동)",21673,우리애동물병원,176373.246167274,433332.066819728
422-5399,인천광역시 남동구 간석동,"인천광역시 남동구 석산로 35, 112, 113-1호 (간석동)",21505,정서동물병원,173149.341445569,440078.641104127
466-7975,인천광역시 남동구 구월동 1526-1번지,인천광역시 남동구 인하로 608 (구월동),21583,애니힐동물병원,174645.201,437872.249
462-0070,인천광역시 남동구 만수동 1118-1번지,인천광역시 남동구 만수서로 60 (만수동),21524,메이동물병원,176281.884764634,439952.096116402
468-7975,인천광역시 남동구 서창동 687-1번지,"인천광역시 남동구 서창남로 71, 101,102호 (서창동)",21614,물빛동물병원,177667.266198282,435965.810165822
251-7575,인천광역시 남동구 구월동 1132 타원벨라움,"인천광역시 남동구 인주대로591번길 64, 타원벨라움 205호 (구월동)",21558,찬샘동물병원,173668.242489173,439028.708707727
464-4488,인천광역시 남동구 만수동 948-4,인천광역시 남동구 구월로 364 (만수동),,젬마동물병원,176137.803174055,439216.471544639
463-9066,인천광역시 남동구 간석동 921-15번지,인천광역시 남동구 백범로 260 (간석동),21518,세우리동물병원,175208.746452443,439920.341666843
467-8450,인천광역시 남동구 만수동 1025-11번지,인천광역시 남동구 담방로 52-1 (만수동),,만수동물병원,176835.58,438048.96
428-8275,인천광역시 남동구 간석동 216-4번지,인천광역시 남동구 백범로 400 (간석동),,마이펫 동물병원,173998.976181406,440636.703499565
469-7782,인천광역시 남동구 만수동 869-11번지,인천광역시 남동구 만수로 25 (만수동),,좋은 친구들 동물병원,176166.479034099,439707.31558573
437-5535,인천광역시 남동구 간석동 570-5,인천광역시 남동구 백범로 469 (간석동),21503,동암동물병원,173300.30419001,440721.578543513
469-7588,인천광역시 남동구 만수동 916-2,인천광역시 남동구 구월로 314 (만수동),21535,행복한 동물병원,175643.342549476,439270.511694322
434-6002,인천광역시 남동구 구월동 1149-5 1층,"인천광역시 남동구 남동대로 737 (구월동,1층)",,소망동물병원,174012.687548593,438486.444074092
433-0755,인천광역시 남동구 간석동 210-9 동성빌딩,"인천광역시 남동구 남동대로 910, 동성빌딩 1층 (간석동)",21545,인천24시유앤미동물병원,174138.166591648,440195.722627232
423-0975,인천광역시 남동구 논현동 751-1번지,"인천광역시 남동구 소래역남로16번길 75,  B103-2호 (논현동)",21674,논현동물병원,176289.301104774,433115.954737015
439-3578,인천광역시 남동구 논현동 605-11번지,"인천광역시 남동구 은봉로312번길 29-14, 101호 (논현동)",21659,강아지와고양이나라 동물병원,175644.53206403,433636.491219967
032)434-7525,인천광역시 남동구 간석동 573-1번지 성우네오빌 105~107호,"인천광역시 남동구 백범로 457, 105~107호 (간석동,성우네오빌)",,D&C동물병원,173407.876159521,440677.1746683
